Short Item No,Business Unit,"Location ",Lot Serial Number,Primary Location,Lot Stat Code,Quantity On Hand,Quantity Backordered,Quantity On P.O.,Quantity On WO/RC,Quantity On other 1,Quantity On Other 2,Quantity on Other PO,Quantity Hard Committed,Qty Soft Committed,Quantity On Future,WO Soft Commit,Qty Hard Committed WO,Quantity In Transit,Quantity In Inspection,Quantity In Operation 1,Quantity In Operation 2,Last Rcpt Date,Secondary Quantity Hard Committed,Secondary Quantity Soft Committed,Secondary Quantity On Hand,Secondary Quantity On WO/RC,Secondary Quantity On Purchase Order,Secondary WO Hard Committed,Secondary WO Soft Commit,Quantity on Project Hard Commit,Quantity on Project Hard Commit,Unique Configuration ID
1850,"         901",PP004,35711,S,,6,,,,,,,,,,,,,,,,06/10/2020,,,,,,,,,,
1851,"         901",FGPAINT,250209,S,,60,,,,,,,,,,,,,,,,05/28/2020,,,,,,,,,,
1851,"         901",PP016,17789,S,,16,,,,,,,,,,,,,,,,10/27/2022,,,,,,,,,,
1917,"         901",F0AA04,753333,S,,60,,,,,,,,,,,,,,,,12/20/2022,,,,,,,,,,
1917,"         901",F0AA04,753388,S,,60,,,,,,,,,,,,,,,,12/20/2022,,,,,,,,,,
1917,"         901",F0AA04,754443,S,,60,,,,,,,,,,,,,,,,12/21/2022,,,,,,,,,,
1917,"         901",F0AA04,754487,S,,60,,,,,,,,,,,,,,,,12/21/2022,,,,,,,,,,
1917,"         901",F0AA04,754541,S,,60,,,,,,,,,,,,,,,,12/21/2022,,,,,,,,,,
1917,"         901",F0CC04,753856,S,,60,,,,,,,,,,,,,,,,12/20/2022,,,,,,,,,,
1917,"         901",F0CC04,754119,S,,60,,,,,,,,,,,,,,,,12/21/2022,,,,,,,,,,
1917,"         901",F0CC04,754164,S,,60,,,,,,,,,,,,,,,,12/21/2022,,,,,,,,,,
1917,"         901",F0CC04,754248,S,,60,,,,,,,,,,,,,,,,12/21/2022,,,,,,,,,,
1917,"         901",F0CC04,754271,S,,60,,,,,,,,,,,,,,,,12/21/2022,,,,,,,,,,
1917,"         901",F0CC04,754332,S,,60,,,,,,,,,,,,,,,,12/21/2022,,,,,,,,,,
1917,"         901",F0CC04,754369,S,,60,,,,,,,,,,,,,,,,12/21/2022,,,,,,,,,,
1917,"         901",F0CC04,754397,S,,60,,,,,,,,,,,,,,,,12/21/2022,,,,,,,,,,
1917,"         901",F0DD01,754551,S,,60,,,,,,,,,,,,,,,,12/21/2022,,,,,,,,,,
1917,"         901",F0DD01,754565,S,,60,,,,,,,,,,,,,,,,12/21/2022,,,,,,,,,,
1917,"         901",F0DD01,754578,S,,60,,,,,,,,,,,,,,,,12/21/2022,,,,,,,,,,
1917,"         901",F0DD01,754603,S,,60,,,,,,,,,,,,,,,,12/21/2022,,,,,,,,,,
1917,"         901",F0DD01,754610,S,,60,,,,,,,,,,,,,,,,12/21/2022,,,,,,,,,,
1917,"         901",F0DD01,754617,S,,60,,,,,,,,,,,,,,,,12/21/2022,,,,,,,,,,
1917,"         901",F0DD01,754625,S,,60,,,,,,,,,,,,,,,,12/21/2022,,,,,,,,,,
1917,"         901",F0DD02,753691,S,,60,,,,,,,,,,,,,,,,12/20/2022,,,,,,,,,,
1917,"         901",F0DD02,753718,S,,60,,,,,,,,,,,,,,,,12/20/2022,,,,,,,,,,
1917,"         901",F0DD02,753739,S,,60,,,,,,,,,,,,,,,,12/20/2022,,,,,,,,,,
1917,"         901",F0DD02,753759,S,,60,,,,,,,,,,,,,,,,12/20/2022,,,,,,,,,,
1917,"         901",F0DD02,753790,S,,60,,,,,,,,,,,,,,,,12/20/2022,,,,,,,,,,
1917,"         901",F0DD02,753820,S,,60,,,,,,,,,,,,,,,,12/20/2022,,,,,,,,,,
1917,"         901",F0FF04,753416,S,,60,,,,,,,,,,,,,,,,12/20/2022,,,,,,,,,,
1917,"         901",F0FF04,753500,S,,60,,,,,,,,,,,,,,,,12/20/2022,,,,,,,,,,
1917,"         901",F0FF04,753547,S,,60,,,,,,,,,,,,,,,,12/20/2022,,,,,,,,,,
1917,"         901",F0FF04,753573,S,,60,,,,,,,,,,,,,,,,12/20/2022,,,,,,,,,,
1917,"         901",F0FF04,753604,S,,60,,,,,,,,,,,,,,,,12/20/2022,,,,,,,,,,
1917,"         901",SERVICE,588758M,S,,43,,,,,,,,,,,,,,,,12/08/2022,,,,,,,,,,
1917,"         901",SERVICE,631858,S,,8,,,,,,,,,,,,,,,,11/03/2022,,,,,,,,,,
1917,"         901",SHIPDOCK,714380AD,S,,6,,,,,,,,,,,,,,,,12/13/2022,,,,,,,,,,
1917,"         901",SHIPDOCK,752914,S,,60,,,,,,,,,,,,,,,,12/19/2022,,,,,,,,,,
1917,"         901",SHIPDOCK,752960,S,,60,,,,,,,,,,,,,,,,12/19/2022,,,,,,,,,,
1917,"         901",TM04,753460,S,,60,,,,,,,,,,,,,,,,12/20/2022,,,,,,,,,,
1918,"         901",SERVICE,632194,S,,5,,,,,,,,,,,,,,,,12/12/2022,,,,,,,,,,
1919,"         901",FGPAINT,705417,S,,60,,,,,,,,,,,,,,,,,,,,,,,,,,
1919,"         901",PP001,705417,S,,60,,,,,,,,,,,,,,,,10/06/2022,,,,,,,,,,
1919,"         901",PP019,60389AD,S,,2,,,,,,,,,,,,,,,,12/13/2022,,,,,,,,,,
1920,"         901",FGPAINT,431879,S,,60,,,,,,,,,,,,,,,,10/13/2021,,,,,,,,,,
1920,"         901",PP009,052826CNM,S,,2,,,,,,,,,,,,,,,,10/13/2021,,,,,,,,,,
2030,"         901",SHIPDOCK,748716,S,,7,,,,,,,,,,,,,,,,12/13/2022,,,,,,,,,,
2031,"         901",SHIPDOCK,109TC01,S,,5,,,,,,,,,,,,,,,,01/09/2023,,,,,,,,,,
